196,STB 113,GENERAL BIOLOGY,2,2,1,1
2,ACC 111,PRINCIPLES OF ACCOUNTS I,3,1,2,1
10,ACC 222,COST ACCOUNTING II,3,3,2,1
17,ACC 316,PUBLIC FINANCE,3,4,2,1
27,ACC 415,MANAGEMENT ACCOUNTING I,3,6,2,1
29,BAM 111,INTRODUCTION TO BUSINESS I,3,1,2,1
31,BAM 112,BUSINESS MATHEMATICS I,2,1,2,1
33,BAM 113,PRINCIPLES OF LAW,2,1,2,1
34,BAM 114,PRINCIPLES OF ECONOMICS I,3,1,2,1
35,BAM 116,ELEMENTS OF PUBLIC ADMINISTRATION,3,2,2,1
36,BAM 117,PRINCIPLES OF PURCHASING,2,2,2,1
37,BAM 121,INTRODUCTION TO BUSINESS II,3,2,2,1
38,BAM 123,INTRODUCTION TO SOCIAL PSYCHOLOGY,2,2,2,1
39,BAM 125,DATA PROCESSING I,3,2,2,1
40,BAM 214,BUSINESS LAW,2,2,2,1
41,BAM 217,BUSINESS RESEARCH METHODS,2,3,2,1
42,BAM 221,PRINCIPLES OF MANAGEMENT II,3,3,2,1
44,BAM 222,BUSINESS STATISTICS II,2,3,2,1
45,BAM 311,PRACTICE OF MANAGEMENT,3,4,2,1
46,BAM 313,QUANTITATIVE TECHNIQUES IN BUSINESS,3,4,2,1
47,BAM 314,HUMAN CAPITAL MANAGEMENT I,3,4,2,1
48,BAM 316,FINANCIAL MANAGEMENT I,3,4,2,1
49,BAM 321,MANAGEMENT INFORMATION SYSTEM,3,4,2,1
50,BAM 322,ORGANSATIONAL BEHAVIOUR II,3,5,2,1
51,BAM 323,MANAGEMENT OF DEVELOPMENT,3,5,2,1
52,BAM 412,MANAGERIAL ECONOMICS I,3,5,2,1
53,BAM 415,COMPANY LAW,2,6,2,1
54,BAM 421,BUSINESS POLICY AND STRATEGIES II,3,6,2,1
55,BAM 422,MANAGERIAL ECONOMICS II,3,6,2,1
60,COM 111,INTRODUCTION TO COMPUTER,2,1,2,1
95,EED 126,INTRODUCTION TO ENTREPRENEURSHIP,2,2,2,1
100,EED 413,ENTREPRENEURSHIP DEVELOPMENT,2,5,2,1
103,GNS 111,CITIZENSHIP EDUCATION,2,1,2,1
110,GNS 112,TECHNICAL ENGLISH I,2,1,2,1
119,GNS 118,USE OF LIBRARY,1,1,2,1
133,GNS 323,BUSINESS COMMUNICATION I,2,4,2,1
134,GNS 414,COMMUNICATION SKILLS,2,6,2,1
136,HBF 315,ICT OFFICE APPLICATIONS I,3,5,2,1
138,ICT 211,INFORMATION TECHNOLOGY ESSENTIALS II,3,3,2,1
169,MKT 415,MARKETING MANAGEMENT,3,6,2,1
177,OTM 222,COMMUNICATION SKILLS,2,3,2,1
197,STB 113,GENERAL BIOLOGY,2,2,2,1
61,COM 111,INTRODUCTION TO COMPUTING,3,1,3,1
66,COM 112,INTRODUCTION TO DIGITAL ELECTRONICS,3,1,3,1
67,COM 113,INTRODUCTION TO PROGRAMMING,3,1,3,1
68,COM 123,COMPUTER APPLICATION PACKAGE,3,2,3,1
69,COM 126,PC UPGRADE AND MAINTENANCE,3,2,3,1
70,COM 128,INTRODUCTION TO OPERATING SYSTEM,2,2,3,1
71,COM 211,COMPUTER PROGRAMMING USING OOBASIC,3,2,3,1
72,COM 212,INTRODUCTION TO SYSTEM PROGRAMMING,3,2,3,1
74,COM 218,DATABASE DESIGN,2,3,3,1
75,COM 221,COMPUTER PROGRAMMING USING OOFORTRAN,3,3,3,1
76,COM 223,BASIC HARDWARE MAINTENANCE,3,3,3,1
77,COM 224,MANAGEMENT INFORMATION SYSTEM,3,3,3,1
78,COM 225,WEB TECHNOLOGY,3,3,3,1
79,COM 311,OPERATING SYSTEM I,3,4,3,1
80,COM 312,DATABASE DESIGN I,3,4,3,1
81,COM 313,COMPUTER PROGRAMMING USING C++,3,4,3,1
82,COM 315,ADVANCED WEB PROGRAMMING,3,4,3,1
83,COM 324,INTRODUCTION TO SOFTWARE ENGINEERING,3,5,3,1
84,COM 326,INTRODUCTION TO HUMAN COMPUTER INTERACTION,3,5,3,1
85,COM 411,COMPUTER MODELLING AND SIMULATION,3,5,3,1
86,COM 416,MULTIMEDIA,3,6,3,1
87,COM 422,COMPUTER GRAPHICS AND ANIMATIONS,3,6,3,1
88,COM 423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS,3,6,3,1
89,COM 425,SEMINAR ON CURRENT TOPICS IN IT,2,6,3,1
96,EED 126,ENTREPRENEURSHIP DEVELOPMENT I,2,2,3,1
104,GNS 111,CITIZENSHIP EDUCATION,2,1,3,1
111,GNS 112,TECHNICAL ENGLISH I,2,1,3,1
120,GNS 118,USE OF LIBRARY,1,1,3,1
132,GNS 318,BUSINESS COMMUNICATION I,2,4,3,1
139,ICT 211,INFORMATION TECHNOLOGY ESSENTIALS II,2,3,3,1
170,MTH 111,LOGIC AND LINEAR ALGEBRA,2,2,3,1
173,MTH 113,FUNCTIONS AND GOEMETRY,2,1,3,1
175,MTH 316,MATHEMATICAL METHODS I,2,4,3,1
176,MTH 321,MATHEMATICAL METHODS II,2,5,3,1
189,STA 111,DESCRIPTIVE STATISTICS I,2,2,3,1
190,STA 112,ELEMENTARY PROBABILITY THEORY,2,1,3,1
191,STA 311,STATISTICAL THEORY I,3,4,3,1
192,STA 314,OPERATING RESEARCH I,3,4,3,1
193,STA 321,STATISTICAL THEORY II,3,5,3,1
194,STA 411,OPERATIONS RESEARCH II,3,6,3,1
62,COM 111,INTRODUCTION TO COMPUTER ,2,1,5,1
97,EED 126,INTRODUCTION TO ENTREPRENEURSHIP,2,2,5,1
105,GNS 111,CITIZENSHIP EDUCATION,2,1,5,1
112,GNS 112,USE OF ENGLISH I,2,1,5,1
121,GNS 118,USE OF LIBRARY,1,1,5,1
126,GNS 211,USE OF ENGLISH II,2,2,5,1
127,GNS 212,INTRODUCTION TO SOCIOLOGY,2,3,5,1
128,GNS 223,INTRODUCTION TO PSYCHOLOGY,2,2,5,1
129,GNS 224,ECONOMICS,2,1,5,1
130,GNS 225,GEOGRAPHY OF NIGERIA,2,3,5,1
140,ICT 211,INFORMATION TECHNOLOGY ESSENTIALS II,3,3,5,1
144,MAC 111,ENGLISH FOR MASS COMMUNICATION I,2,1,5,1
145,MAC 112,FRENCH I,2,1,5,1
146,MAC 113,YORUBA I,2,1,5,1
147,MAC 114,INTRODUCTION TO COMMUNICATION,3,1,5,1
148,MAC 115,INTRODUCTION TO NEWS GATHERING AND WRITING,3,1,5,1
149,MAC 116,GRAPHIC ARTS AND DESIGN,3,1,5,1
150,MAC 126,PRINCIPLES AND PRACTICE OF PUBLIC RELATIONS,2,2,5,1
151,MAC 127,INTRODUCTION TO BROADCASTING,3,2,5,1
152,MAC 210,INTRODUCTION TO BOOK PUBLISHING,2,3,5,1
153,MAC 211,ENGLISH FOR MASS COMMUNICATION III,2,2,5,1
154,MAC 212,INTRODUCTION TO RESEARCH METHOD,2,3,5,1
155,MAC 214,FEATURE WRITING,3,2,5,1
156,MAC 225,INVESTIGATIVE AND INTERPRETATIVE JOURNALISM,2,3,5,1
157,MAC 228,PUBLIC RELATION PRACTICE AND PLANNING,2,3,5,1
90,EEC 112,INTRODUCTION TO COMPUTER SOFTWARE,2,1,6,1
92,EEC 117,COMPUTER HARDWARE I,2,1,6,1
93,EED 116,BUSINESS ENTREPRENEURSHIP,2,1,6,1
108,GNS 111,CITIZENSHIP EDUCATION,2,1,6,1
115,GNS 112,USE OF ENGLISH ,2,1,6,1
124,GNS 118,USE OF LIBRARY,1,1,6,1
160,MEC 112,TECHNICAL DRAWING,1,1,6,1
162,MEC 113,BASIC WORKSHOP TECHNOLOGY AND PRACTICE,2,1,6,1
172,MTH 112,ALGEBRA AND ELEMENTARY TRIGONOMETRY,2,1,6,1
3,ACC 111,PRINCIPLES OF ACCOUNTS I,3,2,7,1
12,ACC 223,AUDITING,2,3,7,1
63,COM 111,INTRODUCTION TO COMPUTER,2,1,7,1
64,COM 111,INTRODUCTION TO COMPUTING,2,1,7,1
73,COM 213,COMPUTER PACKAGES I,2,2,7,1
91,EEC 115,ELECTRICAL ENGINEERING SCIENCE I,2,2,7,1
98,EED 126,INTRODUCTION TO ENTREPRENEURSHIP,2,2,7,1
106,GNS 111,CITIZENSHIP EDUCATION,2,1,7,1
107,GNS 111,CITIZENSHIP EDUCATION,2,2,7,1
113,GNS 112,USE OF ENGLISH,2,1,7,1
114,GNS 112,USE OF ENGLISH I,2,1,7,1
117,GNS 113,GENERAL PRINCIPLES OF LAW,2,1,7,1
122,GNS 118,USE OF LIBRARY,1,1,7,1
123,GNS 118,USE OF LIBRARY,2,1,7,1
141,ICT 211,INFORMATION TECHNOLOGY ESSENTIALS II,2,3,7,1
143,LGS 212,LOCAL GOVERNMENT ADMINISTRATION II,2,3,7,1
158,MEC 111,MECHANICAL ENGINEERING SCIENCE (STATICS),3,1,7,1
159,MEC 112,TECHNICAL DRAWING,3,1,7,1
161,MEC 113,BASIC WORKSHOP TECHNOLOGY AND PRACTICE,3,1,7,1
163,MEC 212,ENGINEERING MEASUREMENT,2,2,7,1
164,MEC 213,THERMODYNAMICS II,3,2,7,1
165,MEC 214,FLUID MECHANICS,3,2,7,1
166,MEC 215,FOUNDRY TECHNOLOGY AND FORGING OPERATIONS,2,2,7,1
167,MEC 217,TECHNICAL REPORT WRITING,2,2,7,1
168,MEC 219,INTRODUCTION TO COMPUTER AIDED DESIGN (CAD),2,2,7,1
171,MTH 111,LOGIC AND LINEAR ALGEBRA,2,2,7,1
174,MTH 113,FUNCTIONS AND GOEMETRY,2,2,7,1
178,OTM 226,PEOPLE COMMUNICATION SKILLS,2,3,7,1
179,PAD 111,ELEMENTS OF PUBLIC ADMINISTRATION,3,2,7,1
180,PAD 112,THEORIES OF ADMINISTRATION & MANAGEMENT,2,1,7,1
181,PAD 114,PRINCIPLES OF ECONOMICS I,3,1,7,1
182,PAD 115,INTRODUCTION TO PSYCHOLOGY,2,2,7,1
183,PAD 116,BUSINESS MATHEMATICS,2,1,7,1
184,PAD 126,PUBLIC SERVICE RULES AND REGULATIONS,2,2,7,1
185,PAD 215,RESEARCH METHODS,2,3,7,1
186,PAD 221,INTRODUCTION TO INTER-GOVERNMENTAL RELATIONS,3,3,7,1
187,PAD 224,LAW & PRACTICE OF MEETINGS,2,3,7,1
188,PAD 226,NIGERIAN LABOUR LAW,2,2,7,1
198,STB 113,GENERAL BIOLOGY,2,2,7,1
65,COM 111,INTRODUCTION TO COMPUTER,2,1,8,1
101,GLT 111,GENERAL LAB. TECHNIQUES,2,1,8,1
116,GNS 112,TECHNICAL ENGLISH I,2,1,8,1
125,GNS 118,USE OF LIBRARY,1,1,8,1
195,STB 111,PLANT AND ANIMAL TAXONOMY,3,1,8,1
199,STC 111,GENERAL PRINCIPLE OF CHEMISTRY,3,1,8,1
200,STP 111,MECHANICS,3,1,8,1
201,STP 113,ALGEBRA FOR SCIENCE,2,1,8,1
202,COM 111,INTRODUCTION TO COMPUTING,2,1,4,1
203,GNS 112,USE OF ENGLISH I,2,1,4,1
204,GNS 118,USE OF LIBRARY,2,1,4,1
205,MEC 111,MECHANICAL ENGINEERING SCIENCE (STATICS),3,1,4,1
206,MEC 112,TECHNICAL DRAWING,3,1,4,1
207,MEC 113,BASIC WORKSHOP TECHNOLOGY AND PRACTICE,3,1,4,1
